time_ms,method,roll_deg,pitch_deg,compute_us
286,ACC,-4.347,5.414,151
1288,ACC,-4.088,5.054,11
2290,ACC,-3.628,5.443,11
3292,ACC,-3.401,5.091,11
4294,ACC,-7.188,4.521,11
5296,ACC,-7.588,3.991,11
6298,ACC,-2.658,4.033,11
7300,ACC,-0.553,3.290,11
8302,ACC,0.238,2.932,11
9304,ACC,-0.481,2.760,11
10306,ACC,-1.017,2.477,11
11308,ACC,-0.613,2.695,11
12310,ACC,-0.433,2.766,11
13312,ACC,-0.613,2.769,11
14314,ACC,-0.927,2.596,11
15316,ACC,-0.852,2.501,11
16318,ACC,-0.936,2.859,11
17320,ACC,5.855,1.738,11
18322,ACC,13.856,0.865,11
19324,ACC,17.650,0.247,11
20326,ACC,19.881,-0.294,11
21328,ACC,20.789,-0.254,11
22330,ACC,21.450,0.014,11
23332,ACC,22.681,0.000,10
24334,ACC,23.425,-0.242,11
25336,ACC,25.715,-0.269,31
26338,ACC,28.598,-0.891,19
27340,ACC,30.059,-0.676,19
28342,ACC,29.689,-0.588,19
29344,ACC,30.167,-0.281,19
30346,ACC,30.189,0.000,19
31348,ACC,29.667,-0.414,11
32350,ACC,29.646,-0.186,19
33352,ACC,29.751,-0.379,19
34354,ACC,30.381,0.014,19
35356,ACC,30.017,-0.084,11
36358,ACC,29.769,-0.257,19
37360,ACC,30.093,-0.370,19
38362,ACC,30.172,-0.216,19
39364,ACC,29.577,-0.487,19
40366,ACC,29.691,-0.497,19
41368,ACC,29.898,-0.488,19
42370,ACC,29.931,-0.341,19
43372,ACC,29.837,-0.504,19
44374,ACC,33.417,-0.401,19
45376,ACC,50.920,-0.830,19
46378,ACC,63.087,-2.309,15
47380,ACC,70.647,-3.162,15
48382,ACC,79.877,-2.425,15
49384,ACC,86.623,-3.510,15
50386,ACC,88.321,-3.068,15
51388,ACC,89.354,-2.966,15
52390,ACC,88.565,-3.377,15
53392,ACC,88.507,-3.090,15
54394,ACC,87.934,-2.738,15
55396,ACC,89.208,-2.888,15
56398,ACC,89.449,-2.726,15
57400,ACC,88.584,-2.595,15
58402,ACC,89.343,-2.866,15
59404,ACC,89.588,-2.464,15
60406,ACC,89.912,-2.397,15
61408,ACC,89.481,-2.997,15
62410,ACC,89.472,-2.301,15
63412,ACC,89.538,-2.235,15
64414,ACC,89.518,-2.613,15
65416,ACC,90.190,-2.319,19
66418,ACC,89.853,-2.340,15
67420,ACC,90.168,-2.227,15
68422,ACC,89.555,-2.816,15
69424,ACC,76.139,-4.145,15
70426,ACC,35.725,-2.436,23
71428,ACC,13.524,0.476,11
72430,ACC,7.617,2.152,11
73432,ACC,6.295,3.825,11
74434,ACC,1.561,8.030,11
75436,ACC,-0.340,6.538,11
76438,ACC,3.459,4.703,11
77440,ACC,3.027,3.003,11
78442,ACC,0.727,2.005,11
79444,ACC,0.746,2.650,11
80446,ACC,0.874,2.472,11
81448,ACC,0.835,1.324,11
82450,ACC,0.007,2.088,11
83452,ACC,0.101,1.637,11
84454,ACC,0.421,1.790,11
85456,ACC,0.128,1.516,11
86458,ACC,-0.115,1.378,11
87460,ACC,0.556,1.736,11
88462,ACC,0.559,1.165,11
89464,ACC,0.528,1.415,11
90466,ACC,0.698,1.740,11
91468,ACC,0.625,1.622,11
92470,ACC,0.369,1.755,11
93472,ACC,0.402,1.894,11
94474,ACC,0.920,1.908,11
95476,ACC,0.628,1.660,11
96478,ACC,0.356,1.745,11
97480,ACC,0.838,1.940,11
98482,ACC,0.545,1.655,11
99484,ACC,0.813,1.565,11
100486,ACC,0.918,1.857,11
101488,ACC,0.891,1.931,11
102490,ACC,0.686,2.022,11
103492,ACC,0.944,1.920,11
104494,ACC,1.550,1.878,11
105496,ACC,1.048,1.629,11
106498,ACC,1.086,1.912,11
107500,ACC,1.792,2.603,11
108502,ACC,1.805,2.614,11
109504,ACC,1.584,22.936,11
110506,ACC,-0.196,26.586,19
111508,ACC,-0.461,30.924,19
112510,ACC,-0.683,31.748,19
113512,ACC,-0.849,31.411,19
114514,ACC,-0.786,31.064,19
115516,ACC,-0.530,29.414,19
116518,ACC,-0.930,29.399,19
117520,ACC,-0.365,29.741,19
118522,ACC,-0.700,29.793,19
119524,ACC,-0.475,29.922,19
120526,ACC,-0.153,29.706,19
121528,ACC,-0.194,30.193,19
122530,ACC,-0.187,29.957,19
123532,ACC,-0.429,30.153,19
124534,ACC,-0.408,30.128,19
125536,ACC,-0.086,30.129,19
126538,ACC,-0.280,30.005,19
127540,ACC,-0.212,30.383,19
128542,ACC,-0.225,30.143,19
129544,ACC,-0.266,30.198,19
130546,ACC,0.216,33.764,19
131548,ACC,-1.105,60.351,15
132550,ACC,-5.295,69.431,15
133552,ACC,-4.153,70.297,15
134554,ACC,-5.071,75.507,15
135556,ACC,-15.575,82.494,15
136558,ACC,-29.140,85.058,27
137560,ACC,-74.722,86.926,19
138562,ACC,-101.821,86.980,19
139564,ACC,-125.571,85.918,19
140566,ACC,-145.288,84.267,27
141568,ACC,-133.349,85.576,27
142570,ACC,-134.311,85.542,27
143572,ACC,-137.453,85.292,27
144574,ACC,-145.433,84.100,27
145576,ACC,-139.268,84.736,27
146578,ACC,-111.175,86.487,19
147580,ACC,-116.228,86.326,19
148582,ACC,-120.929,86.112,19
149584,ACC,-123.020,85.902,19
150586,ACC,-118.841,86.050,19
151588,ACC,-121.918,86.184,19
152590,ACC,-130.754,85.525,27
153592,ACC,-139.938,85.061,27
154594,ACC,-142.431,84.654,27
155596,ACC,-137.610,84.951,27
156598,ACC,-141.035,84.927,27
157600,ACC,-119.905,85.992,19
158602,ACC,-101.819,86.174,19
159604,ACC,-76.305,86.097,19
160606,ACC,-61.807,85.796,19
161608,ACC,-59.902,85.682,19
162610,ACC,-68.395,85.896,19
163612,ACC,-66.116,85.900,19
164614,ACC,-61.317,85.646,19
