roll_deg,pitch_deg,compute_us
286,ACC,126.151,88.343,172
1288,ACC,129.523,88.203,19
2290,ACC,123.690,88.432,20
3292,ACC,125.336,88.394,20
4294,ACC,136.219,88.164,24
5296,ACC,132.274,88.249,20
6298,ACC,124.380,88.406,20
7300,ACC,115.034,88.608,20
8302,ACC,127.875,88.345,20
9304,ACC,130.651,88.261,20
10306,ACC,137.291,88.045,20
11308,ACC,133.741,88.218,20
12310,ACC,137.349,88.090,20
13312,ACC,139.116,88.026,20
14314,ACC,131.186,88.311,20
15316,ACC,136.099,88.214,20
16318,ACC,140.519,87.968,20
17320,ACC,135.914,88.162,20
18322,ACC,141.096,87.972,20
19324,ACC,143.130,87.860,20
20326,ACC,136.799,88.126,20
21328,ACC,142.509,87.832,20
22330,ACC,145.435,87.492,20
23332,ACC,148.610,87.614,24
24334,ACC,145.053,87.811,20
25336,ACC,148.100,87.605,20
26338,ACC,149.813,87.546,20
27340,ACC,149.859,87.524,20
28342,ACC,150.740,87.569,20
29344,ACC,150.690,87.294,20
30346,ACC,153.306,87.262,20
31348,ACC,152.262,87.273,20
32350,ACC,151.070,87.520,20
33352,ACC,156.364,86.799,20
34354,ACC,155.234,87.047,20
35356,ACC,142.546,88.092,20
36358,ACC,153.500,87.391,20
37360,ACC,149.066,87.694,20
38362,ACC,145.557,87.816,20
39364,ACC,132.129,88.339,20
40366,ACC,128.991,88.506,20
41368,ACC,135.481,88.256,20
42370,ACC,131.348,88.389,20
43372,ACC,124.509,88.520,20
44374,ACC,140.298,88.045,20
45376,ACC,141.799,87.976,20
46378,ACC,141.727,88.078,20
47380,ACC,142.613,88.008,20
48382,ACC,138.935,88.149,20
49384,ACC,145.008,87.894,20
50386,ACC,140.906,88.147,20
51388,ACC,139.470,88.181,20
52390,ACC,142.275,88.147,20
53392,ACC,131.298,88.332,20
54394,ACC,148.072,87.851,20
55396,ACC,148.684,87.703,20
56398,ACC,150.098,87.510,20
57400,ACC,145.269,87.889,20
58402,ACC,155.283,87.127,20
59404,ACC,151.964,87.463,20
60406,ACC,157.676,86.902,20
61408,ACC,155.996,87.090,20
62410,ACC,145.376,87.871,20
